Scenario,Type of unit,Year data,Location,Profile,Fuel,Electrolyser,CO2 capture,"Installed capacity (MW (electrical unit), t/h (non electrical), MWh (batteries), t (h2 tank))",Total investment(MEuros),Annualised investment(MEuros),Fixed O&M(MEuros),Variable O&M(MEuros),Fuel cost(MEuros),Cost per unit(MEuros),Production(kton or GWh),Sale (MEuros),Electricity consumption(GWh),Production cost fuel (Euros/kgfuel),Production cost fuel (Euros/GJfuel),Production cost fuel (Euros/MWhfuel),Production cost per unit (Euros/kg or kWh output),Load average,Full load hours,Av electricity cost(Euros/MWh)
MeOH-AEC,CO2 capture PS,2030,Bornholm,2018,MeOH,AEC,PS,31.76693453357302,0.0,0.0,0.0,0.0,22.812499999998625,22.812499999998625,182.499999999989,0.0,0.0,0.0,0.0,0.0,0.125,0.728594457365774,5744.967296329128,43.032790871900545
MeOH-AEC,MeOH plant CCU,2030,Bornholm,2018,MeOH,AEC,PS,21.758174338063714,129.8092681008881,10.416231513745338,5.192370724035524,0.0,0.0,15.608602237780861,124.99999999999481,0.0,109.74999999999741,1.0060843666931532,50.557003351414735,182.00521206509305,0.12486881790225207,0.728594457365774,5744.967296329128,43.032790871900545
MeOH-AEC,Waste water plant,2030,Bornholm,2018,MeOH,AEC,PS,52.94581981046695,6.4064441970665005,0.6172114893863554,0.192193325911995,0.0,0.0,0.8094048152983504,285.69072598988043,0.0,0.7142268149746656,0.0,0.0,0.0,0.0028331504723993757,0.6843255698310333,5395.907118117698,43.032790871900545
MeOH-AEC,Electrolysers AEC,2030,Bornholm,2018,MeOH,AEC,PS,4.606286323510624,211.93984003104734,15.037652449808444,4.238796800620947,0.0,0.0,19.27644925042939,24.85509316111839,0.0,1218.1481158264419,0.0,0.0,0.0,0.7755532890371198,0.6843255698310333,5395.907118117698,43.032790871900545
MeOH-AEC,H2 pipeline to MeOH CCU plant,2030,Bornholm,2018,MeOH,AEC,PS,4.325680782915251,0.0,0.0,0.0,0.0,0.0,0.0,24.850894632206955,0.0,0.0,0.0,0.0,0.0,0.0,0.728594457365774,5744.967296329128,43.032790871900545
MeOH-AEC,Heat from district heating,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,Heat sent to district heating,2030,Bornholm,2018,MeOH,AEC,PS,47.74893090827833,0.0,0.0,0.0,0.0,0.0,-5.256266729492783,262.81333647467255,-5.256266729492783,0.0,0.0,0.0,0.0,-0.019999999999997457,0.6980427966882411,5504.067451886781,43.032790871900545
MeOH-AEC,Sale of oxygen,2030,Bornholm,2018,MeOH,AEC,PS,36.57391340867436,0.0,0.0,0.0,0.0,0.0,-19.734943969927215,197.3494396992864,-19.734943969927215,0.0,0.0,0.0,0.0,-0.09999999999999279,0.6843255698310333,5395.907118117698,43.032790871900545
MeOH-AEC,H2 pipes compressor,2030,Bornholm,2018,MeOH,AEC,PS,3.4853419156177123,0.0,0.0,0.0,0.00010074661299637362,0.0,0.00010074661299637362,1.0074661299637515,0.0,0.9470181621659343,0.0,0.0,0.0,9.999999999999847e-5,0.036659232438423645,289.05804777697045,43.032790871900545
MeOH-AEC,H2 pipes valve,2030,Bornholm,2018,MeOH,AEC,PS,3.797874443025638,0.0,0.0,0.0,0.00010032676010513236,0.0,0.00010032676010513236,1.0032676010513573,0.0,0.0,0.0,0.0,0.0,9.999999999999664e-5,0.0335022894898408,264.1655526273947,43.032790871900545
MeOH-AEC,H2 buried pipes,2030,Bornholm,2018,MeOH,AEC,PS,25.56585316312543,11.78585830820082,0.6455908430206859,0.02531019463149417,0.0,0.0,0.6709010376521801,73.57787048825116,0.0,0.0,0.0,0.0,0.0,0.00911824483639152,0.36499358062205406,2877.974383204896,43.032790871900545
MeOH-AEC,Solar fixed,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,Solar tracking,2030,Bornholm,2018,MeOH,AEC,PS,482.3378271196279,221.30990760651378,14.396527087287142,4.476495858404483,0.0,0.0,18.873022945691623,642.1064442990797,0.0,0.0,0.0,0.0,0.0,0.029392358717553947,0.1688317057704502,1331.2379999999998,43.032790871900545
MeOH-AEC,ON_SP198-HH100,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,ON_SP198-HH150,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,ON_SP237-HH100,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,ON_SP237-HH150,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,ON_SP277-HH100,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,ON_SP277-HH150,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,ON_SP321-HH100,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,ON_SP321-HH150,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,OFF_SP379-HH100,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,OFF_SP379-HH150,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,OFF_SP450-HH100,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,OFF_SP450-HH150,2030,Bornholm,2018,MeOH,AEC,PS,260.188737048336,534.1158294123501,34.74500120236558,9.781979749133486,2.504075012033766,0.0,47.03105596353283,889.3786760921788,0.0,0.0,0.0,0.0,0.0,0.052880800077399585,0.4335074064679687,3418.205899999933,43.032790871900545
MeOH-AEC,Electricity from the grid,2030,Bornholm,2018,MeOH,AEC,PS,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,43.032790871900545
MeOH-AEC,Electricity to the grid,2030,Bornholm,2018,MeOH,AEC,PS,422.0416440753536,0.0,0.0,0.0,0.019100531595550554,0.0,0.019100531595550554,191.00531595550697,0.0,0.0,0.0,0.0,0.0,9.999999999999925e-5,0.05739690182209755,452.5745708672392,43.032790871900545
MeOH-AEC,Charge batteries,2030,Bornholm,2018,MeOH,AEC,PS,327.64845363145514,0.0,0.0,0.0,0.010764004518890842,0.0,0.010764004518890842,107.64004518890879,0.0,5.382002259445462,0.0,0.0,0.0,9.999999999999967e-5,0.041664296305208535,328.5229763665693,43.032790871900545
MeOH-AEC,Discharge batteries,2030,Bornholm,2018,MeOH,AEC,PS,258.1620037281699,0.0,0.0,0.0,0.010747537243809552,0.0,0.010747537243809552,107.47537243809555,0.0,5.373768621904766,0.0,0.0,0.0,9.999999999999998e-5,0.05279769196651192,416.3098011559465,43.032790871900545
MeOH-AEC,Batteries,2030,Bornholm,2018,MeOH,AEC,PS,823.363754069224,299.7044064811975,21.264764103248126,4.11681877034612,0.2474242653014067,0.0,25.629007138895656,2474.242653014356,0.0,0.0,0.0,0.0,0.0,0.010358324034092606,0.3811086859576055,3005.0419887757193,43.032790871900545
